"->DMS","01"
"YFact","6329"
"TblInput","632a"
"N","632b"
"I%","632c"
"PV","632d"
"PMT","632e"
"FV","632f"
"P/Y","6330"
"C/Y","6331"
"w(nMin)","6332"
"Zw(nMin)","6333"
"PlotStep","6334"
"ZPlotStep","6335"
"Xres","6336"
"ZXres","6337"

"Sequential","7e00"
"Simul","7e01"
"PolarGC","7e02"
"RectGC","7e03"
"CoordOn","7e04"
"CoordOff","7e05"
"Connected","7e06"
"Dot","7e07"
"AxesOn","7e08"
"AxesOff","7e09"
"GridOn","7e0a"
"GridOff","7e0b"
"LabelOn","7e0c"
"LabelOff","7e0d"
"Web","7e0e"
"Time","7e0f"
"uvAxes","7e10"
"vwAxes","7e11"
"uwAxes","7e12"

"Str1","aa00"
"Str2","aa01"
"Str3","aa02"
"Str4","aa03"
"Str5","aa04"
"Str6","aa05"
"Str7","aa06"
"Str8","aa07"
"Str9","aa08"
"Str0","aa09"

"npv(","bb00"
"irr(","bb01"
"bal(","bb02"
"sigmaprn(","bb03"
"sigmaInt(","bb04"
"Nom(","bb05"
"eff(","bb06"
"dbd(","bb07"
"lcm(","bb08"
"gcd(","bb09"
"randInt(","bb0a"
"randBin(","bb0b"
"sub(","bb0c"
"stdDev(","bb0d"
"variance(","bb0e"
"inString(","bb0f"
"normalcdf(","bb10"
"invNorm(","bb11"
"tcdf(","bb12"
"chisquarecdf(","bb13"
"Fcdf(","bb14"
"binompdf(","bb15"
"binomcdf(","bb16"
"poissonpdf(","bb17"
"poissoncdf(","bb18"
"geometpdf(","bb19"
"geometcdf(","bb1a"
"normalpdf(","bb1b"
"tpdf(","bb1c"
"chisquarepdf(","bb1d"
"Fpdf(","bb1e"
"randNorm(","bb1f"
"tvm_Pmt","bb20"
"tvm_I%","bb21"
"tvm_PV","bb22"
"tvm_N","bb23"
"tvm_FV","bb24"
"conj(","bb25"
"real(","bb26"
"imag(","bb27"
"angle(","bb28"
"cumSum(","bb29"
"expr(","bb2a"
"length(","bb2b"
"deltaList","bb2c"
"ref(","bb2d"
"rref(","bb2e"
"Rect","bb2f"
"->Polar","bb30"

"SinReg","bb32"
"Logistic","bb33"
"LinRegTTest","bb34"
"ShadeNorm(","bb35"
"Shade_t(","bb36"
"Shadex^2","bb37"
"Shadef(","bb38"
"Matrlist(","bb39"
"Listmatr(","bb3a"
"Z-Test(","bb3b"
"T-Test(","bb3c"
"2-SampleZTest(","bb3d"
"1-PropZTest(","bb3e"
"2-PropZTest(","bb3f"
"x^2-Test(","bb40"
"ZInterval","bb41"
"2-SampZInt(","bb42"
"1-PropZInt(","bb43"
"2-PropZInt(","bb44"
"GraphStyle(","bb45"
"2-SampTTest","bb46"
"2-SampFTest","bb47"
"TInterval","bb48"
"2-SampTint","bb49"
"SetUpEditor","bb4a"
"Pmt_End","bb4b"
"Pmt_Bgn","bb4c"
"Real","bb4d"
"re^θi","bb4e"
"a+bi","bb4f"
"ExprOn","bb50"
"ExprOff","bb51"
"ClrAllLists","bb52"
"GetCalc(","bb53"
"DelVar","bb54"
"EquString(","bb55"
"StringEqu(","bb56"
"ClearEntries","bb57"
"Select(","bb58"
"ANOVA(","bb59"
